BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADF2172,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus subfurcatus
BOLD:ADF2194,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Megacraspedus,Megacraspedus lanceolellus
BOLD:ADF2204,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,Cladotanytarsus mancus
BOLD:ADF2215,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus trifasciatus
BOLD:ADF2256,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Megacraspedus,Megacraspedus lanceolellus
BOLD:ADF2263,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Megacraspedus,Megacraspedus lanceolellus
BOLD:ADF2336,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus subfurcatus
BOLD:ADF2506,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus furcatus
BOLD:ADF2510,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois olivacea group
BOLD:ADF2605,Arthropoda,Insecta,Lepidoptera,Psychidae,Oiketicoides,Oiketicoides febretta
BOLD:ADF3091,Arthropoda,Insecta,Lepidoptera,Crambidae,Haritalodes,Haritalodes derogata
BOLD:ADF3091,Arthropoda,Insecta,Lepidoptera,Pieridae,,Eurema hecabe
BOLD:ADF3189,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum scalaenum
BOLD:ADF3198,Arthropoda,Insecta,Diptera,Sciaridae,Claustropyga,Claustropyga acanthostyla
BOLD:ADF3488,Arthropoda,Insecta,Diptera,Culicidae,Mansonia,Mansonia uniformis
BOLD:ADF3763,Arthropoda,Insecta,Diptera,Sciaridae,Claustropyga,Claustropyga acanthostyla
BOLD:ADF3768,Arthropoda,Insecta,Hemiptera,Cicadellidae,Erythroneura,Erythroneura vulnerata
BOLD:ADF3848,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convexum
BOLD:ADF3849,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convexum
BOLD:ADF3905,Arthropoda,Insecta,Hymenoptera,Platygastridae,Telenomus,Telenomus podisi
BOLD:ADF3920,Arthropoda,Insecta,Diptera,Sciaridae,Claustropyga,Claustropyga acanthostyla
BOLD:ADF4281,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:ADF4463,Arthropoda,Insecta,Lepidoptera,Geometridae,Brachytrita,Brachytrita cervinaria
BOLD:ADF4465,Arthropoda,Insecta,Lepidoptera,Erebidae,Orvasca,Orvasca subnotata
BOLD:ADF4724,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum unifascium
BOLD:ADF4775,Arthropoda,Insecta,Diptera,Sciaridae,Claustropyga,Claustropyga acanthostyla
BOLD:ADF4845,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus anderseni
BOLD:ADF5084,Arthropoda,Insecta,Diptera,Sciaridae,Claustropyga,Claustropyga acanthostyla
BOLD:ADF5114,Arthropoda,Insecta,Lepidoptera,Noctuidae,Deltote,Deltote incognita
